complaints,Product,Company,target
"My homeowners insurance policy (dated XX/XX/XXXX - XX/XX/XXXX) with XXXX was cancelled due to Regions Mortgage (XXXX XXXX prior to XX/XX/XXXX) failure to pay the premium. They then deducted $XXXX  from my escrow account for forced-placed insurance. My loan originated in XX/XX/XXXX. Regions Mortgage failed to pay the homeowners insurance due in XX/XX/XXXX and XX/XX/XXXX. Although they claimed to have paid it, they did not provide proof of those payments. After multiple attempts and countless hours on the phone with customer service, they eventually credited back the premium amount to my escrow account and reissued payment just days before the policy was going to be cancelled again in XX/XX/XXXX.The same issue for the previous year has yet to be fully resolved. My statement shows both a premium payment and the additional $XXXX was paid out.",Mortgage,REGIONS FINANCIAL CORPORATION,2
"I have multiple credit card accounts with Community Bank ( Two XXXX XXXX accounts, XXXX XXXX and XXXX ). I have been "" locked out '' of my XXXX XXXX and XXXX XXXX accounts for the past almost 3 years. I would call XXXX XXXX customer service because I could not log in and they would "" unlock '' my account and when I logged out after making a payment I was unable to login again without contacting Commenity Bank again to "" unlock '' my account. I have spoken with a representative and manager every month for the past 3 years in order to make a payment on my account and expressed these concerns as well with no recourse. Today, Wednesday, XX/XX/2019, a collections representative contacted me and called me by my first name, then proceeded to divulge my personal balance and information regarding my account. She then threatened to pursue further options in a threatening tone if I did not pay my bill today ( which is 2 days late ). This is a direct violation of privacy laws and collection practices laws. I spoke with a manager named XXXX XXXX who confirmed on a recorded line that the representative violated collection laws and removed one late fee of {$35.00}. I have been charged a late fee every month for the past 3 years, which they refuse to remove. I have also requested XXXX XXXX to confirm the purchase I made on the account as well as a credit and they refused to do that as well. I was informed by a customer service manager named XXXX that I need to submit that request through my online profile, which I was able to login again because I was on the phone with a representative. Commenity Bank also did this with two XXXX XXXX   accounts by locking me out of my online profile. A Commenity Bank customer service manager also did not process proper credits issued on a recorded line from a customer service manager at XXXX XXXX. Then Commenity Bank charged off both accounts without my knowledge or notification and ruining mine and my husband 's credit for no reason and as a retaliation tactic for complaining about damaged furniture. Not to mention, all furniture purchased on the XXXX XXXX accounts were delivered damaged with 8 or more deliveries.",Debt collection,Alliance Data Card Services,0
I was contacted by XXXX XXXX XXXX regarding a old payday I had with Checksmart however that debt was included in a recent bankruptcy that was filed. They threatened to pursue legal action against me even though I advised them this debt which is very old was included in the bankruptcy filing. I was hung up by two representatives after explaining my situation.If I don't pay the requested funds within two days they're threatening to contact my employer as well as garnish my wages.,Debt collection,"COMMUNITY CHOICE FINANCIAL, INC.",0
"On XX/XX/XXXX ( before my payment due date ) I called in to CitiBank to see if they had any available programs in reference to Coronavirus or COVID19. I was transferred around until I landed on an agent that supposedly could help. I explicitly stated that I could pay my regular bill at the time. I was simply calling in to see if they had any deferment programs so that i could save my cash to use for groceries and such. The agent said she understood and offered to defer my payments and cancel my autopay on both of my accounts. I gladly accepted. 

A few days later I received an email that I had missed a payment. I checked my app and was shown that both of my accounts were labelled as past due, with a late fee attached. I called in immediately to rectify the situation. The first agent I spoke with said that there was no program in place, that they had only received communication of possible programs upcoming, and so the previous representative had spoken in error. I requested a supervisor. Again was told that the initial representative was wrong and there was nothing they could do about it. At this point, I was unworried about the deferred payment but the late fee and the impact on my credit score for having 2 accounts showing a missed payment. I have no missed payments on my credit history. I was told by the supervisor that I shouldn't worry about it, a lot of people are going through things right now and they're sure it will all be handled, just give it time. 

On XX/XX/XXXX, the late fee on my Citi DoubleCash card was refunded. I noted on XX/XX/XXXX that the late fee was still showing on my Citi American Airline AAdvantage card. I called in at XXXX and after explaining the situation to the initial rep, was transferred to a supervisor. He told me that they would not remove the late fee and there was nothing he could do about it. I explained again, in detail, the situation that led to the late fee in the first place : That I had the funds to make the payments but was erroneously advised by a representative of CitiBank that my payments were deferred and so was under the false understanding that I did not have to make the payment. He still refused to remove the late fee. 

At this time I am requesting the removal of the late fee and the assurance that the ( 2 ) missed  payments will not show on my credit report as the late payment was due to professional negligence and false information provided by a Citi representative/employee, with me, as the consumer, relying on their expertise to guide my payment decision.",Credit card or prepaid card,"CITIBANK, N.A.",1
"During the months of XX/XX/XXXX/XX/XX/XXXX. We received a letter from XXXX XXXX sending a demand for payment on the second mortgage loan that was charged off in XX/XX/XXXX. The letter referenced XXXX XXXX was collecting the debt for PHH mortgage company who was listed as the servicer for the loan. 
Since XXXX couldn't provide any documentation that actually provided that PHH Mortgage was the actual servicer of the second mortgage loan, I ask for additional information from XXXX. 

On XX/XX/XXXX I received an email from XXXX and they reference they were in receipt of my dispute with them and they wouldn't be providing any more written correspondence or documents. See a copy of the attached email from XXXX. 
I kept requesting and no information was provided by XXXX. 

On XX/XX/XXXX, I received a demand letter from XXXX and they continued to reference PHH mortgage as the client they are collecting the debt. see attached letter. 

So on XX/XX/XXXX, I send a QWR to PHH mortgage which outlined my request to confirm they actually were the servicer for the second mortgage. Please find a copy of the QWR request. As of XX/XX/XXXX. No response. Please find attached the receipt of the OWR and when it was signed for by PHH Mortgage.USPS certified letter was delivered. 

On XX/XX/XXXX I received an email from PHH Mortgage Corporation asking me and XXXX XXXX, to provide the following : A copy of the title report showing the lien is outstanding and also the following information. 
Please also provide copies of the recorded Mortgage, Assignments and any payoff information you may have, such as a copy of the payoff statement and/or the HUD1 Settlement Statement. This will help with locating the account in our records. 

This last request was very upsetting since if in fact, PHH mortgage was actually our servicer, wouldn't in fact, they should already have this information in their system? Please find attached a copy of my XXXX account that references this email.",Debt collection,Ocwen Financial Corporation,0
"Today, I called Navient about information on my loan. Yet again, they can not give me details. It is if they just made it up and I am supposed to agree and abide by that. I have done this several times. They send me from one department to another. I am seeking the payments recieved, the amounts, when they were recieved, and from what account. My bank does not have any record of this nor do I have recollection of what they have posted. They have changed, re-aged, and falsely reported everything from the amount owed, payment dates, to interest, charged off dates, and balance owed. This is all done to keep it on my credit. I have no problem making payment arrangements to them but I need correct information, detail, all mailed to me. They are known for falsifying things. They refuse to. They just send me a print out of what they typed in I owed. They give me nothing so I can do my own research. I do not trust them for good reason. Millions of people have been duped by them. I am unable to secure high employment, a home, and decent life due to their continued false reportings. I need your help in getting this information. I feel that they are reporting this on my credit well past the legal dates by using false info. Please help. If they can not give me this info, then I want it removed immeidatly for good. Again, I am not refusing to make payment arrangments with them. I am seeking a correction to this issue or I may have to take legal action myself.",Student loan,"Navient Solutions, LLC.",4
"Have had repeated calls to employer, most recently being XX/XX/2019. They ask for me and make it known that they are a credit card company seeking to speak with me regarding debt. This is not anyone elses business and has caused me embarrassment and personal strife.",Debt collection,Alliance Data Card Services,0
"During my stay in XXXX ( as indicated in my passport and the attached immigration form XXXX ) I was the subject of a fraudulent event on XX/XX/XXXX, when a thief opened a VISA XXXX card ( apparently in my name, since I never received any statement from XXXX ), and the subject made a purchase of around {$1400.00} USD with an address that does not belong to me. It is clear that the thief took advantage of COMENITY CAPITAL BANK and XXXX 's systems controls. 
By simply doing an INSTANCHEK on the Web, this could have been easily avoided. Also, by cross checking my mail address with other providers, for example my internet services, cell phone or credit card to realize that Ive never lived at the address that the offender used for this fraud, not even close, nor have I ever had that address in my life. ( Bills attached ) I found out about the fraudulent act when, by chance, the XXXX XXXX app informed me about the closure of an account due to non-payment in XX/XX/XXXX of this year. 
This VISA XXXX has never belonged to me. I Have always had an excellent credit history. So, in the midst of the pandemic, I called the bank and reported the fraud, and then did the same with all the credit bureaus and froze my credit. 
When I called the bank, Ms. XXXX from fraud operations refused to give me any more information other than that the address linked to that XXXX account was not the one I was giving her, but a completely different one. She said it was something like on the XXXX or so, but refused to tell me the complete address. 
( Later, upon reviewing my Experian record, I was able to see that fake address was that in XXXX XXXX XXXX XXXX, XXXX XXXX, FL. ) Ms. XXXX asked me for an address where to send the required information to evaluate my case, as I mentioned I did not permanently reside in the United States and my activity is traveling 70 % of my time between XXXX and XXXX XXXX as XXXX of my company. I proposed my daughters address ( who is attending her Master at UM in XXXX XXXX and is a US citizen with a permanent residency in Florida ). 
For all of that, she would be able to receive and send any requests from the bank to any destination without any problems and therefore solve any issues. 

That is why the address XXXX XXXX XXXX XXXX FL XXXX appears in my file since XX/XX/XXXX. See XXXX report when my current address is registered since XX/XX/XXXX in the same report. 

I find the banks behavior very strange, modifying an address by phone without any physical verification, PHOTO ID via FAX, or electronically SCANNED via email. 

To my surprise, contrary to sending me an information kit and procedure on how to report my dispute, I was informed by my daughter that she received two statements by the bank, requesting to pay the scam, What is even worse, they claim in the letter they sent me that they have already resolved that there is no evidence of fraud based on the information I have supposedly provided, when I actually had only given them my daughter 's address until now. 

Since valuable information was not taken or obtained to resolve this case, Im providing the bank with each and every piece of evidence and records to collaborate with the investigation, assuming that there is no ill intent but task overload due to Covid-19.

After having complied with reporting to all Government Agencies such as FTC, CFPB, Police Department and CBB, and having verified on the Equifax website that I was a victim of IDT in the aforementioned data breach, I can only expect a quick and positive resolution by Comenity Capital Bank in order to close the case.",Credit card or prepaid card,Alliance Data Card Services,1
student loans that is under my record which I haven't had no student loans. I had call the company and they say they will erase it but they haven't. I need them to check whos identify thief of my information,Student loan,AES/PHEAA,4
"I have been paying Salliemae, now Navient since 2007. The initial loan was for {$21000.00} and after it was sold to Navient it has now ballooned to me owing them an additional {$36000.00}. I did one semester in XXXX - I did not finish because I realized how much they were charging per semester that was not revealed up front. 

I have repaid Navient, to date {$30000.00}. They charge me a 12 % interest rate and after I called to ask why wasn't more of my payments being applied to the principle they said I have to call each time to speak to a rep to ask that my payment be charged to the principle. On the website they do not give you that option which is very unscrupulous because XXXX and XXXX both allow payment to be applied on your interest or principle.",Student loan,"Navient Solutions, LLC.",4
"TODAYS DATE:XXXX ATTENTION DISPUTE DEPARTMENT ENHANCED RECOVERY CO L XXXX Your company have violated FCRA 615 ( f ) ( 15 U.S.C. 1681m ( f ) ) ( f ) Prohibition on sale or transfer of debt caused by identity theft You have not responded to my request to provide me with an investigation report.

I need this resolve, under the Fair Credit Reporting Act, these disputed items may not appear on my credit report if they can not be supported by any evidence ( 1 ) In general No person ( company ) shall sell, transfer for consideration, or place for collection a debt that such person has been notified under section 1681c-2 of this title has resulted from identity theft.

( 2 ) Applicability The prohibitions of this subsection shall apply to all persons collecting a debt described in paragraph ( 1 ) after the date of a notification under paragraph ( 1 ).

( 3 ) Rule of construction Nothing in this subsection shall be construed to prohibit -- ( A ) The repurchase of a debt in any case in which the assignee of the debt requires such repurchase because the debt has resulted from identity theft ; ( B ) the securitization of a debt or the pledging of a portfolio of debt as collateral in connection with a borrowing ; or ( C ) the transfer of debt as a result of a merger, acquisition, purchase and assumption transaction, or transfer of substantially all of the assets of an entity.

A person that furnishes information to any consumer reporting agency shall have in place reasonable procedures to respond to any notification that it receives from a consumer reporting agency under section 1681c-2 of this title relating to information resulting from identity theft, to prevent that person from refurnishing such blocked information.

The reference items are listed below please take this matter very serious ENHANCED RECOVERY CO L XXXX I have report your company to consumerfinance.gov As a form of record and I am prepare to sue your company Example In re XXXX XXXX XXXX, XXXX Telephone Consumer Protection Act Litigation, Case No. XXXX, in the U.S. District Court for the XXXX District of California Stop collection proceedings against me Signatures on applications and accounts Investigators report XXXX, XXXX XXXX SOC SEC # XXXX DOB XXXX ADDRESS XXXX XXXX   XXXX XXXX, XXXX, XXXX XXXX",Debt collection,ERC,0
They have NOT provided me a copy of ANY original documentation required under Section 609 ( a ) ( 1 ) ( A ) & Section 611 ( a ) ( 1 ) ( A ) ( a consumer contract with my signature on it and verification of my identity before entering into a contract ) and under Section 611 ( 5 ) ( A ) of the FCRA you are required to promptly DELETE all information which can not be verified. The law is very clear as to the Civil liability and the remedy available to me for negligent noncompliance ( Section 617 ) if you fail to comply.,Debt collection,DISCOVER BANK,0
"This particular account situation that is lately filing on my own credit document has a seriously unfavorable relation to my personal ability to obtain a present loan application. I highly recommend you generate verification that Credit Union has been reported completely in accordance with the Fair Credit Reporting Act regulations, it's really a serious problem to  misreport. More confirmation of the aforesaid item too. My proper request must over, I was never 30 days/60 days/120 days late in any of my payments and I'm not greatly tuned in to the date opened so I prefer to ask you be investigated as soon as possible and confirmed to be correct. Thanks!",Credit card or prepaid card,CAPITAL ONE FINANCIAL CORPORATION,1
"I am getting collection letters from Convergent Outsourcing ( XXXX XXXX XXXX XXXX, XXXX XXXXXXXX XXXX XXXX  XXXX, XXXX, WA. XXXX ). It is for a energy bill {$460.00} for XXXX XXXX company in Texas. I have lived in California for the last 27 yrs I have never lived in Texas or owed any property in Texas. I have no relatives that live in Texas. 
I can prove my husband and I have had XXXX XXXX   XXXX for the past 27 yrs. 
All of our utility bills are in my husbands name and always has been. Before living in Calif for the past 27 yrs we were in the XXXX XXXX again never lived in Texas. I do not believe my id has been stolen because this is the only problem I have ever had. Last yr I wrote to the credit agency that had Convergent on my credit report to say this is not my debt I thought it was cleared up did not hear from Convergent until 3 weeks ago wanting me to pay again.",Debt collection,"Convergent Resources, Inc.",0
"I requested a validation of the debt from collection agency Resurgent Capital Services. In my request for validation, I demanded a authenticated copy of an original contact with my signature as per the Fair Debt Collections Practices Act, tile 15 U.S.C section 1692g.  XXXX XXXX XXXX, XXXX failed to validate the debt. The only documentation that I have received is a billing statement from the original creditor. I do not consent to contract with XXXX XXXX XXXX, XXXX. The collection agency is in violation of the Fair Debt Collection Practices Act.",Debt collection,Resurgent Capital Services L.P.,0
"I dealt with Cit 's customer service team. I disputed a charge by XXXX. I received a provisional credit, but the credit was reversed and added back to my account based on documentation provided by the merchant that didn't relate to my circumstance. I sent supplemental documentation to Citi  and Citi  closed my claim saying it wasn't legible. If I would have seen the message to re-provide the documentation, I would have done so, but Citi  sent the notification such that you can only see it when you log in from a desktop browser, rather than the mobile app. As a result, I didn't see the documentation prior to them closing my claim, and now they don't appear willing to help me at all, even though the merchant hasn't provided documentation showing it was a valid charge.",Credit card or prepaid card,"CITIBANK, N.A.",1
"I attempted to make a payment on my XXXX XXXX XXXX Mastercard on XX/XX/19 for {$860.00}. When arranging the payment from the XXXX website, I accidentally chose an old Bank of America Checking account that I rarely use. My intent was to pay from another account from another bank. 

On XX/XX/19 the first attempt to process occurred with Bank of America causing an overdraft of my account by {$770.00}. Bank of America then charged a fee for {$35.00} for insufficient funds. 

On XX/XX/19 XXXX charged me a {$28.00} return payment fee. XXXX then attempted to run the payment again resulting in another overdraft with Bank of America and an additional {$35.00} fee for insufficient funds on XX/XX/19. 

Bank of America did send an alert that I later found in my email, but XXXX sent me no notice whatsoever that they had attempted to charge the account and received a nonsufficient funds notice from Bank of America. 

I have called both Bank of America and XXXX to ask that these fees be reversed because the total value so far is {$98.00} for an honest mistake. This seems like an unfair and deceptive practice focused more running up fees than serving a customer.",Checking or savings account,"BANK OF AMERICA, NATIONAL ASSOCIATION",3
I have contacted the creditor/company many times but they have failed to provide me with necessary documents that will prove this account or debt belongs to me and it has resulted in loss of credit rating.,Debt collection,SinglePoint GI,0
"Hi I went to a local bar on the evening of XX/XX/XXXX and made two separate transactions for drinks in which i even recall signing for in the estimated amounts of $ XXXX {$40.00} & $ XXXX {$50.00} for each transaction. The next morning I realized my card was missing from my posession and than noticed on my citi app there were multiple transactions of {$200.00}, {$380.00}, {$35.00}, and there was also a {$40.00} something charge that is no longer on the account for whatever reason. I only authorized and signed for 2 transactions which im only aware of around {$30.00} & {$40.00} amounts. I immediately called citicards to dispute this, the investigation went on until i recieved notice today XX/XX/2019 that my dispute was rejected and I owe all the amounts. Very poor security with there cards and service. They should be embarrassed of themselves that ive been a client for around 15  years with several different accounts, loans, financials, etc & through the years a few minor disputes that always resolved because im truthful. Well in this case they do not want to help secure my dispute and feel completely betrayed by the banking repationship ive had with citibank for so many years. This is disgusting on every level, they should be ashamed of themselves.",Credit card or prepaid card,"CITIBANK, N.A.",1
"We lost our home in a fire on XX/XX/2019. On XXXX the property loss division of US Bank cashed our insurance check. Through out XXXX we uploaded to the website we were asked to use all required documents. We found the required documents on the paper work they initially sent us. Since that time there has been no communication from them in any form. I have to call every time. I uploaded my final signed contract from our contractor and us on XXXX. That was the last document according to their paperwork and numerous phone calls that I needed to provide them to have completed step 1 and to receive our initial check back from them so I can pay the contractor. I called on XXXX to find out why it was not showing up on the website. I was informed their website had been down and they didn't receive it. There was no effort on their part to inform me about the website being down. This directly delayed a check being issued back to us from them. I then had to pay out of pocket to fax the contract to them. I called back and was informed they had received it and as soon as it was verified the check would be issued. I called today XXXX after I saw on the website that the contract had been reviewed only to be informed they now needed a blue print. There is no mention on the documents they gave me requiring a blue print, to be issued my initial check. I again had to pay out of pocket to have a fax sent with the house plans. I was informed this should have been included in the adjusters report that was reviewed and verified on XXXX. Another error on their part that again has delayed my initial check being issued. Their lack of communication and not providing me correct documentation in the first place stating any and all documents I need to provide them to receive my insurance claim money back has now delayed this process a second time. I feel it is a purposeful, deceitful, and malicious business practice to not give out all the information up front and to neglect contacting customers in order to keep the insurance check money as long as possible to collect interest on it.",Mortgage,U.S. BANCORP,2
"The amount was paid in full through my financial institution bill pay on date due. The account number was changed. Synchrony Bank/SteinMart was able to submit and withdraw the full amount. A phone call was made to representative, XXXX ID # XXXX on XX/XX/2019 waiving the fees. However fees continue with finance and and interest charges to date. Two written letters have been sent to the company with explanation. I explained that I will not accept phone calls only through written documents. I continue to ONLY receive billing statements no written letter. I always pay this account in full.",Debt collection,SYNCHRONY FINANCIAL,0
"Our mortgage was "" transferred '' by XXXX to Carrington Mortgage Services , LLC in on XX/XX/20. On XX/XX/20 we applied online at XXXX for COVID-19 assistance. A "" COVID-19 Forbearance Letter '' dated XX/XX/20 was sent to us saying that we were put into the 90 day forbearance program starting XX/XX/20. Our XXXX payment was automatically deducted on XX/XX/20. We got the letter on XX/XX/20 so we called Carrington on XX/XX/20 to find out why that payment was drawn on XX/XX/20 while we were in a forbearance program, and what the terms of the forbearance were. We spoke to two representatives over the course of two phone calls. The second representative confirmed the first representative 's statement that the forbearance required a full payment of the 90 days of payments at the end of the forbearance period. This is of little help to those that have lost income. When asked for documentation of those terms, the Worker said there was no documentation that she could offer. The XX/XX/20 letter does not include a definition of "" forbearance, '' which would make clear these terms, nor does the letter explain how automatic payments would be handled regarding the forbearance period. No documentation of these terms appear on Carrington 's web page.",Mortgage,"CARRINGTON MORTGAGE SERVICES, LLC",2
